,,,Date,2021/07/26 04:47:41 PM
Product, Contract Month (week), Open Interest(A), Average Volume(B), Liquidity Indicator(A/B)
FKF    ,202109  ,0,0,NA
FKF    ,202112  ,0,0,NA
FKF    ,202203  ,0,0,NA
FKF    ,202206  ,0,0,NA
FNF    ,202108  ,618,55,11.24
FNF    ,202109  ,28,6,4.67
FNF    ,202112  ,0,0,NA
FNF    ,202203  ,0,0,NA
FNF    ,202206  ,0,0,NA
FQF    ,202108  ,306,42,7.29
FQF    ,202109  ,10,3,3.33
FQF    ,202112  ,0,0,NA
FQF    ,202203  ,0,0,NA
FQF    ,202206  ,0,0,NA
FRF    ,202108  ,3580,674,5.31
FRF    ,202109  ,80,12,6.67
FRF    ,202112  ,4,0,9999.99
FRF    ,202203  ,8,0,9999.99
FRF    ,202206  ,0,0,NA
FTF    ,202108  ,6786,2513,2.70
FTF    ,202109  ,380,29,13.10
FTF    ,202112  ,2,0,9999.99
FTF    ,202203  ,0,0,NA
FTF    ,202206  ,0,0,NA
FVF    ,202108  ,734,296,2.48
FVF    ,202109  ,36,12,3.00
FVF    ,202112  ,0,0,NA
FVF    ,202203  ,0,0,NA
FVF    ,202206  ,0,0,NA
FWF    ,202108  ,1004,529,1.90
FWF    ,202109  ,254,0,9999.99
FWF    ,202112  ,46,0,9999.99
FWF    ,202203  ,12,0,9999.99
FWF    ,202206  ,0,0,NA
FXF    ,202108  ,5312,3243,1.64
FXF    ,202109  ,180,44,4.09
FXF    ,202110  ,0,0,NA
FXF    ,202112  ,20,5,4.00
FXF    ,202203  ,2,0,9999.99
FXF    ,202206  ,2,0,9999.99
FYF    ,202108  ,1642,1584,1.04
FYF    ,202109  ,118,33,3.58
FYF    ,202112  ,2,0,9999.99
FYF    ,202203  ,2,0,9999.99
FYF    ,202206  ,0,0,NA
FZF    ,202108  ,10112,9013,1.12
FZF    ,202109  ,106,36,2.94
FZF    ,202112  ,96,0,9999.99
FZF    ,202203  ,288,0,9999.99
FZF    ,202206  ,0,0,NA
G2F    ,202108  ,262,230,1.14
G2F    ,202109  ,68,26,2.62
G2F    ,202110  ,0,0,NA
G2F    ,202112  ,0,0,NA
G2F    ,202203  ,0,0,NA
G2F    ,202206  ,0,0,NA
GAF    ,202108  ,954,113,8.44
GAF    ,202109  ,30,6,5.00
GAF    ,202112  ,0,0,NA
GAF    ,202203  ,0,0,NA
GAF    ,202206  ,0,0,NA
GCF    ,202108  ,1088,174,6.25
GCF    ,202109  ,20,4,5.00
GCF    ,202112  ,0,0,NA
GCF    ,202203  ,2,0,9999.99
GCF    ,202206  ,0,0,NA
GDF    ,202108  ,456,26,17.54
GDF    ,202110  ,468,38,12.32
GDF    ,202112  ,0,0,NA
GDF    ,202202  ,0,0,NA
GDF    ,202204  ,0,0,NA
GDF    ,202206  ,0,0,NA
GHF    ,202108  ,2026,1369,1.48
GHF    ,202109  ,24,9,2.67
GHF    ,202112  ,4,1,4.00
GHF    ,202203  ,0,0,NA
GHF    ,202206  ,0,0,NA
GIF    ,202108  ,532,391,1.36
GIF    ,202109  ,8,2,4.00
GIF    ,202112  ,6,1,6.00
GIF    ,202203  ,2,0,9999.99
GIF    ,202206  ,0,0,NA
GJF    ,202108  ,1652,358,4.61
GJF    ,202109  ,222,56,3.96
GJF    ,202112  ,0,0,NA
GJF    ,202203  ,0,0,NA
GJF    ,202206  ,0,0,NA
GLF    ,202108  ,364,60,6.07
GLF    ,202109  ,26,6,4.33
GLF    ,202112  ,2,0,9999.99
GLF    ,202203  ,0,0,NA
GLF    ,202206  ,0,0,NA
GMF    ,202108  ,934,966,0.97
GMF    ,202109  ,28,6,4.67
